StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,att1,att2,combination1,combination1_DO,combination2,combination2_DO,combination3,combination3_DO,combination4,combination4_DO,combination5,combination5_DO,combination6,combination6_DO,pk_egal_1,sk_egal_1,ck_egal_1,pk_selfish_1,sk_selfish_1,ck_selfish_1,pk_alibi_1,sk_alibi_1,ck_alibi_1,comp1,comp2,FL_12_DO,FL_27_DO
1/24/23 16:24,1/24/23 16:26,0,100,134,1,1/24/23 16:26,R_sXWXZfvtU4zjdfj,anonymous,EN,1,2,2,,,,,1,2|3|1,,,,,,,0,0,0,0,0,0,0,0,0,1,2,page1.3,page3|page2|page4
1/24/23 16:25,1/24/23 16:27,0,100,107,1,1/24/23 16:27,R_3yokL4KaP2tDBIJ,anonymous,EN,1,2,2,,,,,3,2|1|3,,,,,,,30,27,24,61,61,59,31,24,32,1,2,page1.3,page4|page2|page3
1/24/23 16:25,1/24/23 16:27,0,100,112,1,1/24/23 16:27,R_3R88Ja8Pm1zw0rW,anonymous,EN,1,2,2,3,2|1|3,,,,,,,,,,,2,0,10,9,6,2,16,17,12,1,2,page1.1,page2|page3|page4
1/24/23 16:25,1/24/23 16:27,0,100,91,1,1/24/23 16:27,R_2tfevacgtzOk029,anonymous,EN,1,2,2,,,,,,,3,2|1|3,,,,,0,0,0,65,75,75,60,55,55,1,2,page1.4,page3|page2|page4
1/24/23 16:24,1/24/23 16:27,0,100,167,1,1/24/23 16:27,R_1QzSPBW2nzMvpsM,anonymous,EN,1,2,2,1,3|1|2,,,,,,,,,,,34,33,23,86,89,86,74,61,77,1,2,page1.1,page4|page2|page3
1/24/23 16:24,1/24/23 16:27,0,100,184,1,1/24/23 16:27,R_3fV6GH1XQXbsueg,anonymous,EN,1,2,2,,,,,,,,,1,3|1|2,,,30,30,29,70,70,70,20,20,10,1,3,page1.5,page4|page3|page2
1/24/23 16:26,1/24/23 16:28,0,100,118,1,1/24/23 16:28,R_3J1TD58JTRRuYo4,anonymous,EN,1,2,2,,,,,,,,,1,2|1|3,,,0,0,0,75,80,78,68,66,75,1,2,page1.5,page4|page2|page3
1/24/23 16:26,1/24/23 16:28,0,100,139,1,1/24/23 16:28,R_2WA6vlodKWQuTxs,anonymous,EN,1,2,2,,,3,1|3|2,,,,,,,,,0,0,0,21,26,15,1,2,5,3,3,page1.2,page4|page3|page2
1/24/23 16:25,1/24/23 16:28,0,100,184,1,1/24/23 16:28,R_3nurcPoHMXGn9rL,anonymous,EN,1,2,2,,,,,,,,,,,3,2|3|1,25,31,24,67,63,31,80,69,58,3,3,page1.6,page4|page3|page2
1/24/23 16:27,1/24/23 16:28,0,100,84,1,1/24/23 16:28,R_0TEGTBeuWxhl9vj,anonymous,EN,1,2,2,,,,,,,3,1|2|3,,,,,15,21,16,70,68,63,80,79,61,1,2,page1.4,page2|page4|page3
1/24/23 16:26,1/24/23 16:28,0,100,162,1,1/24/23 16:28,R_1EYyBDxu7TJuXD9,anonymous,EN,1,2,2,,,3,2|1|3,,,,,,,,,15,12,13,76,71,71,76,37,68,1,2,page1.2,page3|page4|page2
